Vaga,Empresa,Local,DataAnuncio,DataColeta,SumarioVaga,Salario
,Selecionar Talentos,"Florianópolis, SC","Linguagens de programação (SQL, PL, Python, Shell Script);",há 8 dias,16-11-2021,
Cientista de Dados - Credit Modeling,BoletoFlex,"Florianópolis, SC","Liderar o desenvolvimento de novos modelos de crédito trabalhando de forma cross-funcional com as equipes de tecnologia;
Day off no mês do aniversário;",há 30+ dias,16-11-2021,
Back-end Developer,InPulse Animal Health,"Florianópolis, SC","Com um setor de engenharia bastante horizontal, nós desenvolvemos hardware, software embarcado, aplicações desktop (nativas), apps mobile e back e front-end…",há 30+ dias,16-11-2021,R$ 3.000 por mês
Desenvolvedor(a) Fullstack Pleno/Sênior - Onsite,Linx,"Florianópolis, SC","Evoluir e fazer manutenção em sistemas escritos principalmente em Node;
Domínio em Javascript e Node.js.
Conhecimentos em HTML e CSS.",há 30+ dias,16-11-2021,
Data Scientist,AE Studio,"Florianópolis, SC",AE Studio is a mid-sized startup from California and we are looking for developers/designers to work remotely and/or from our office in Florianópolis.,há 30+ dias,16-11-2021,
Desenvolvedor(a) Back-end Python (remoto),GeekHunter,"Biguaçu, SC","Dar manutenção e melhorar o sistema.
Testes automatizados SQL MongoDB Docker RESTful GraphQL.
O time de desenvolvimento também está crescendo, contamos com 12…",há 30+ dias,16-11-2021,R$ 6.500 - R$ 8.500 por mês
Programador(a) Fullstack – (Python & Javascript),Neoprospecta,Cachoeira do,"Experiência com Python (Framework Django ou Flask);
Experiência com algum framework Frontend (Angular, React, Vue, etc);
Ter excelência na leitura em inglês;",há 30+ dias,16-11-2021,
Data Scientist (Brain-Computer Interface Team),AE Studio,"Florianópolis, SC","We have a team of highly skilled developers, designers, and data scientists building products that increase human agency.",há 30+ dias,16-11-2021,
Desenvolvedor Backend,Dynamox,"Florianópolis, SC","Propor melhorias em soluções arquiteturais baseadas em streaming (Kafka);
Conhecimento sólido em Javascript Node JS e/ou Python, REST;",há 30+ dias,16-11-2021,
Bolsista,INSTITUTO EUVALDO LODI,"Florianópolis, SC","Mestrado Completo nas áreas de Tecnologia;
""Frontend com HTML, CSS, React ou Angular; Backend com Java ou .",há 30+ dias,16-11-2021,
